index,date,wp1,train,u,v,ws,wd
27,2009-07-02 03:00:00,0.0,1.0,0.06,-0.27,0.28,167.07
28,2009-07-02 04:00:00,0.0,1.0,0.27,-0.02,0.27,93.85
29,2009-07-02 05:00:00,0.0,1.0,0.39,0.04,0.39,83.91
30,2009-07-02 06:00:00,0.0,1.0,0.3,-0.15,0.34,116.49
31,2009-07-02 07:00:00,0.0,1.0,0.09,-0.45,0.46,169.02
32,2009-07-02 08:00:00,0.0,1.0,-0.15,-0.66,0.68,192.96
33,2009-07-02 09:00:00,0.0,1.0,-0.31,-0.66,0.74,205.3
34,2009-07-02 10:00:00,0.0,1.0,-0.31,-0.61,0.69,207.14
35,2009-07-02 11:00:00,0.0,1.0,-0.07,-0.73,0.73,185.46
36,2009-07-02 12:00:00,0.0,1.0,2.23,-1.54,2.71,124.62
37,2009-07-02 13:00:00,0.0,1.0,2.87,-2.42,3.76,130.14
38,2009-07-02 14:00:00,0.0,1.0,3.11,-2.91,4.26,133.11
39,2009-07-02 15:00:00,0.0,1.0,3.05,-3.1,4.35,135.44
40,2009-07-02 16:00:00,0.0,1.0,2.84,-3.1,4.21,137.56
41,2009-07-02 17:00:00,0.025,1.0,2.61,-3.05,4.02,139.41
42,2009-07-02 18:00:00,0.0,1.0,2.49,-3.03,3.92,140.61
43,2009-07-02 19:00:00,0.025,1.0,2.44,-3.01,3.88,141.02
44,2009-07-02 20:00:00,0.076,1.0,2.42,-2.95,3.81,140.65
45,2009-07-02 21:00:00,0.076,1.0,2.38,-2.79,3.66,139.55
46,2009-07-02 22:00:00,0.0,1.0,2.33,-2.57,3.47,137.8
47,2009-07-02 23:00:00,0.0,1.0,2.29,-2.34,3.27,135.56
48,2009-07-03 00:00:00,0.0,1.0,2.39,-1.92,3.06,128.81
49,2009-07-03 01:00:00,0.0,1.0,2.53,-1.73,3.07,124.34
50,2009-07-03 02:00:00,0.0,1.0,3.0,-2.14,3.68,125.48
51,2009-07-03 03:00:00,0.0,1.0,3.66,-2.93,4.69,128.64
52,2009-07-03 04:00:00,0.0,1.0,4.35,-3.8,5.78,131.16
53,2009-07-03 05:00:00,0.0,1.0,4.89,-4.45,6.61,132.29
54,2009-07-03 06:00:00,0.354,1.0,5.15,-4.64,6.93,132.05
55,2009-07-03 07:00:00,0.682,1.0,5.18,-4.56,6.9,131.35
56,2009-07-03 08:00:00,0.429,1.0,5.07,-4.45,6.75,131.26
57,2009-07-03 09:00:00,0.303,1.0,4.92,-4.53,6.68,132.63
58,2009-07-03 10:00:00,0.22699999999999998,1.0,4.78,-4.75,6.74,134.85
59,2009-07-03 11:00:00,0.429,1.0,4.7,-5.03,6.88,136.97
60,2009-07-03 12:00:00,0.354,1.0,5.31,-5.54,7.68,136.22
61,2009-07-03 13:00:00,0.253,1.0,5.6,-5.6,7.92,134.97
62,2009-07-03 14:00:00,0.152,1.0,5.49,-5.53,7.79,135.21
63,2009-07-03 15:00:00,0.177,1.0,5.07,-5.38,7.39,136.68
64,2009-07-03 16:00:00,0.354,1.0,4.49,-5.23,6.89,139.32
65,2009-07-03 17:00:00,0.278,1.0,3.9,-5.16,6.47,142.92
66,2009-07-03 18:00:00,0.152,1.0,3.4,-5.22,6.23,146.95
67,2009-07-03 19:00:00,0.126,1.0,2.96,-5.34,6.11,150.95
68,2009-07-03 20:00:00,0.126,1.0,2.53,-5.38,5.95,154.82
69,2009-07-03 21:00:00,0.126,1.0,2.07,-5.29,5.68,158.6
70,2009-07-03 22:00:00,0.051,1.0,1.69,-5.15,5.42,161.8
71,2009-07-03 23:00:00,0.051,1.0,1.54,-5.12,5.35,163.28
72,2009-07-04 00:00:00,0.025,1.0,1.4,-3.33,3.61,157.19
73,2009-07-04 01:00:00,0.0,1.0,1.38,-3.18,3.46,156.48
74,2009-07-04 02:00:00,0.0,1.0,1.65,-3.35,3.74,153.78
75,2009-07-04 03:00:00,0.0,1.0,2.11,-3.73,4.28,150.49
76,2009-07-04 04:00:00,0.0,1.0,2.63,-4.12,4.89,147.39
77,2009-07-04 05:00:00,0.025,1.0,3.09,-4.33,5.32,144.44
78,2009-07-04 06:00:00,0.177,1.0,3.39,-4.23,5.42,141.27
79,2009-07-04 07:00:00,0.22699999999999998,1.0,3.58,-3.98,5.35,138.04
80,2009-07-04 08:00:00,0.10099999999999999,1.0,3.72,-3.79,5.31,135.51
81,2009-07-04 09:00:00,0.051,1.0,3.88,-3.82,5.44,134.53
82,2009-07-04 10:00:00,0.051,1.0,4.0,-3.95,5.62,134.62
83,2009-07-04 11:00:00,0.025,1.0,4.0,-3.99,5.65,134.93
84,2009-07-04 12:00:00,0.025,1.0,3.29,-4.86,5.87,145.89
85,2009-07-04 13:00:00,0.126,1.0,3.41,-4.34,5.52,141.84
86,2009-07-04 14:00:00,0.051,1.0,3.47,-3.83,5.17,137.81
87,2009-07-04 15:00:00,0.051,1.0,3.47,-3.33,4.81,133.83
88,2009-07-04 16:00:00,0.076,1.0,3.4,-2.86,4.45,130.12
89,2009-07-04 17:00:00,0.051,1.0,3.25,-2.45,4.07,127.03
90,2009-07-04 18:00:00,0.025,1.0,3.02,-2.09,3.67,124.77
91,2009-07-04 19:00:00,0.0,1.0,2.64,-1.66,3.12,122.16
92,2009-07-04 20:00:00,0.0,1.0,2.08,-1.0,2.31,115.74
93,2009-07-04 21:00:00,0.0,1.0,1.29,-0.04,1.29,91.97
94,2009-07-04 22:00:00,0.0,1.0,0.37,0.91,0.98,22.31
95,2009-07-04 23:00:00,0.0,1.0,-0.54,1.47,1.57,339.83
96,2009-07-05 00:00:00,0.0,1.0,0.2,0.94,0.96,11.88
97,2009-07-05 01:00:00,0.0,1.0,0.17,1.47,1.48,6.77
98,2009-07-05 02:00:00,0.0,1.0,0.33,2.02,2.04,9.4
99,2009-07-05 03:00:00,0.0,1.0,0.6,2.53,2.6,13.36
100,2009-07-05 04:00:00,0.0,1.0,0.89,2.96,3.09,16.82
101,2009-07-05 05:00:00,0.0,1.0,1.13,3.24,3.43,19.19
102,2009-07-05 06:00:00,0.0,1.0,1.23,3.32,3.54,20.27
103,2009-07-05 07:00:00,0.076,1.0,1.16,3.19,3.4,19.96
104,2009-07-05 08:00:00,0.126,1.0,0.91,2.87,3.01,17.63
105,2009-07-05 09:00:00,0.126,1.0,0.51,2.36,2.41,12.17
106,2009-07-05 10:00:00,0.177,1.0,0.17,1.74,1.75,5.58
107,2009-07-05 11:00:00,0.076,1.0,0.16,1.1,1.12,8.3
108,2009-07-05 12:00:00,0.0,1.0,0.86,1.06,1.36,39.03
109,2009-07-05 13:00:00,0.0,1.0,1.56,0.78,1.74,63.6
110,2009-07-05 14:00:00,0.0,1.0,1.95,0.65,2.06,71.51
111,2009-07-05 15:00:00,0.0,1.0,2.12,0.65,2.22,72.88
112,2009-07-05 16:00:00,0.0,1.0,2.2,0.72,2.32,71.78
113,2009-07-05 17:00:00,0.0,1.0,2.35,0.81,2.49,70.9
114,2009-07-05 18:00:00,0.0,1.0,2.65,0.88,2.8,71.63
115,2009-07-05 19:00:00,0.0,1.0,2.96,0.96,3.11,72.1
116,2009-07-05 20:00:00,0.0,1.0,3.06,1.08,3.25,70.51
117,2009-07-05 21:00:00,0.0,1.0,2.83,1.28,3.11,65.71
118,2009-07-05 22:00:00,0.0,1.0,2.51,1.43,2.89,60.29
119,2009-07-05 23:00:00,0.025,1.0,2.45,1.42,2.83,59.87
120,2009-07-06 00:00:00,0.32799999999999996,1.0,4.44,-0.51,4.47,96.53
121,2009-07-06 01:00:00,0.10099999999999999,1.0,3.45,-1.47,3.75,113.1
122,2009-07-06 02:00:00,0.0,1.0,1.95,-2.16,2.91,137.98
123,2009-07-06 03:00:00,0.0,1.0,0.23,-2.56,2.57,174.88
124,2009-07-06 04:00:00,0.0,1.0,-1.28,-2.56,2.86,206.5
125,2009-07-06 05:00:00,0.0,1.0,-2.12,-2.06,2.95,225.74
126,2009-07-06 06:00:00,0.0,1.0,-1.98,-1.03,2.23,242.42
127,2009-07-06 07:00:00,0.0,1.0,-1.19,0.14,1.2,276.81
128,2009-07-06 08:00:00,0.0,1.0,-0.22,1.0,1.02,347.65
129,2009-07-06 09:00:00,0.0,1.0,0.55,1.16,1.28,25.4
130,2009-07-06 10:00:00,0.0,1.0,1.07,0.7,1.28,56.7
131,2009-07-06 11:00:00,0.0,1.0,1.37,-0.21,1.39,98.5
132,2009-07-06 12:00:00,0.0,1.0,1.75,-1.89,2.58,137.26
133,2009-07-06 13:00:00,0.0,1.0,2.21,-1.97,2.96,131.82
134,2009-07-06 14:00:00,0.0,1.0,2.46,-1.7,3.0,124.65
135,2009-07-06 15:00:00,0.0,1.0,2.54,-1.26,2.84,116.32
136,2009-07-06 16:00:00,0.025,1.0,2.45,-0.83,2.59,108.68
137,2009-07-06 17:00:00,0.025,1.0,2.22,-0.62,2.3,105.6
138,2009-07-06 18:00:00,0.025,1.0,1.84,-0.8,2.01,113.46
139,2009-07-06 19:00:00,0.051,1.0,1.36,-1.46,1.99,137.1
140,2009-07-06 20:00:00,0.025,1.0,0.77,-2.66,2.77,163.89
141,2009-07-06 21:00:00,0.0,1.0,0.11,-4.32,4.32,178.53
142,2009-07-06 22:00:00,0.0,1.0,-0.52,-5.81,5.83,185.11
143,2009-07-06 23:00:00,0.0,1.0,-1.01,-6.36,6.44,189.02
144,2009-07-07 00:00:00,0.354,1.0,-1.0,-4.46,4.57,192.64
145,2009-07-07 01:00:00,0.152,1.0,-1.3,-3.53,3.76,200.25
146,2009-07-07 02:00:00,0.0,1.0,-1.25,-3.17,3.41,201.56
147,2009-07-07 03:00:00,0.0,1.0,-0.91,-3.23,3.35,195.74
148,2009-07-07 04:00:00,0.051,1.0,-0.31,-3.49,3.5,185.09
149,2009-07-07 05:00:00,0.025,1.0,0.51,-3.75,3.78,172.28
150,2009-07-07 06:00:00,0.0,1.0,1.49,-3.84,4.12,158.75
151,2009-07-07 07:00:00,0.0,1.0,2.5,-3.81,4.56,146.7
152,2009-07-07 08:00:00,0.0,1.0,3.39,-3.78,5.07,138.12
153,2009-07-07 09:00:00,0.051,1.0,4.02,-3.82,5.55,133.55
154,2009-07-07 10:00:00,0.10099999999999999,1.0,4.42,-3.95,5.93,131.76
155,2009-07-07 11:00:00,0.278,1.0,4.66,-4.15,6.24,131.72
156,2009-07-07 12:00:00,0.10099999999999999,1.0,5.86,-4.28,7.26,126.15
157,2009-07-07 13:00:00,0.152,1.0,6.06,-4.73,7.68,127.97
158,2009-07-07 14:00:00,0.20199999999999999,1.0,6.02,-4.89,7.76,129.09
159,2009-07-07 15:00:00,0.22699999999999998,1.0,5.8,-4.86,7.57,129.95
160,2009-07-07 16:00:00,0.22699999999999998,1.0,5.41,-4.74,7.19,131.18
161,2009-07-07 17:00:00,0.22699999999999998,1.0,4.88,-4.65,6.74,133.6
162,2009-07-07 18:00:00,0.253,1.0,4.25,-4.68,6.32,137.74
163,2009-07-07 19:00:00,0.152,1.0,3.63,-4.72,5.95,142.48
164,2009-07-07 20:00:00,0.076,1.0,3.13,-4.63,5.59,145.91
165,2009-07-07 21:00:00,0.051,1.0,2.87,-4.31,5.18,146.4
166,2009-07-07 22:00:00,0.051,1.0,2.79,-3.93,4.82,144.6
167,2009-07-07 23:00:00,0.051,1.0,2.85,-3.69,4.66,142.31
168,2009-07-08 00:00:00,0.0,1.0,3.31,-3.34,4.71,135.22
169,2009-07-08 01:00:00,0.0,1.0,3.41,-3.32,4.76,134.27
170,2009-07-08 02:00:00,0.0,1.0,3.48,-3.56,4.98,135.62
171,2009-07-08 03:00:00,0.0,1.0,3.53,-3.93,5.29,138.07
172,2009-07-08 04:00:00,0.025,1.0,3.55,-4.26,5.55,140.18
173,2009-07-08 05:00:00,0.152,1.0,3.54,-4.35,5.61,140.85
174,2009-07-08 06:00:00,0.177,1.0,3.49,-4.08,5.37,139.43
175,2009-07-08 07:00:00,0.253,1.0,3.43,-3.68,5.03,137.01
176,2009-07-08 08:00:00,0.152,1.0,3.38,-3.46,4.84,135.64
177,2009-07-08 09:00:00,0.025,1.0,3.36,-3.63,4.95,137.21
178,2009-07-08 10:00:00,0.0,1.0,3.32,-4.02,5.21,140.4
179,2009-07-08 11:00:00,0.0,1.0,3.21,-4.34,5.4,143.52
180,2009-07-08 12:00:00,0.0,1.0,3.47,-3.9,5.22,138.31
181,2009-07-08 13:00:00,0.0,1.0,3.65,-4.09,5.48,138.21
182,2009-07-08 14:00:00,0.0,1.0,3.69,-4.3,5.66,139.35
183,2009-07-08 15:00:00,0.0,1.0,3.59,-4.5,5.76,141.41
184,2009-07-08 16:00:00,0.0,1.0,3.35,-4.68,5.76,144.46
185,2009-07-08 17:00:00,0.0,1.0,2.94,-4.83,5.65,148.72
186,2009-07-08 18:00:00,0.025,1.0,2.37,-4.92,5.47,154.27
187,2009-07-08 19:00:00,0.025,1.0,1.81,-4.93,5.25,159.86
188,2009-07-08 20:00:00,0.051,1.0,1.42,-4.81,5.02,163.53
189,2009-07-08 21:00:00,0.025,1.0,1.33,-4.55,4.74,163.74
190,2009-07-08 22:00:00,0.025,1.0,1.35,-4.22,4.43,162.31
191,2009-07-08 23:00:00,0.025,1.0,1.23,-3.9,4.09,162.52
192,2009-07-09 00:00:00,0.0,1.0,-0.5,-3.03,3.07,189.39
193,2009-07-09 01:00:00,0.025,1.0,-0.98,-2.58,2.76,200.67
194,2009-07-09 02:00:00,0.025,1.0,-1.4,-2.32,2.71,211.18
195,2009-07-09 03:00:00,0.025,1.0,-1.78,-2.16,2.8,219.49
196,2009-07-09 04:00:00,0.025,1.0,-2.08,-1.96,2.86,226.69
197,2009-07-09 05:00:00,0.076,1.0,-2.27,-1.56,2.76,235.52
198,2009-07-09 06:00:00,0.177,1.0,-2.35,-0.88,2.51,249.41
199,2009-07-09 07:00:00,0.22699999999999998,1.0,-2.38,-0.16,2.39,266.12
200,2009-07-09 08:00:00,0.20199999999999999,1.0,-2.45,0.3,2.47,276.9
201,2009-07-09 09:00:00,0.177,1.0,-2.58,0.28,2.6,276.11
202,2009-07-09 10:00:00,0.303,1.0,-2.65,-0.05,2.65,268.89
203,2009-07-09 11:00:00,0.253,1.0,-2.46,-0.42,2.5,260.27
204,2009-07-09 12:00:00,0.126,1.0,-1.68,-0.39,1.73,257.0
205,2009-07-09 13:00:00,0.025,1.0,-1.0,-0.58,1.16,239.71
206,2009-07-09 14:00:00,0.0,1.0,-0.28,-0.7,0.75,201.87
207,2009-07-09 15:00:00,0.0,1.0,0.42,-0.78,0.89,151.55
208,2009-07-09 16:00:00,0.0,1.0,1.1,-0.91,1.43,129.53
209,2009-07-09 17:00:00,0.0,1.0,1.75,-1.17,2.11,123.8
210,2009-07-09 18:00:00,0.0,1.0,2.33,-1.62,2.84,124.81
211,2009-07-09 19:00:00,0.0,1.0,2.59,-2.11,3.34,129.14
212,2009-07-09 20:00:00,0.0,1.0,2.27,-2.47,3.36,137.45
213,2009-07-09 21:00:00,0.0,1.0,1.2,-2.54,2.82,154.67
214,2009-07-09 22:00:00,0.0,1.0,-0.24,-2.25,2.26,186.2
215,2009-07-09 23:00:00,0.0,1.0,-1.59,-1.54,2.21,226.02
216,2009-07-10 00:00:00,0.0,1.0,-2.17,-0.93,2.36,246.67
217,2009-07-10 01:00:00,0.0,1.0,-2.83,0.16,2.84,273.18
218,2009-07-10 02:00:00,0.0,1.0,-3.07,1.17,3.28,290.81
219,2009-07-10 03:00:00,0.177,1.0,-2.99,2.05,3.63,304.44
220,2009-07-10 04:00:00,0.32799999999999996,1.0,-2.76,2.74,3.89,314.74
221,2009-07-10 05:00:00,0.32799999999999996,1.0,-2.54,3.13,4.03,320.99
222,2009-07-10 06:00:00,0.32799999999999996,1.0,-2.45,3.2,4.03,322.63
223,2009-07-10 07:00:00,0.429,1.0,-2.45,3.1,3.95,321.71
224,2009-07-10 08:00:00,0.379,1.0,-2.46,3.02,3.89,320.83
225,2009-07-10 09:00:00,0.32799999999999996,1.0,-2.41,3.12,3.94,322.33
226,2009-07-10 10:00:00,0.303,1.0,-2.22,3.36,4.03,326.58
227,2009-07-10 11:00:00,0.32799999999999996,1.0,-1.84,3.69,4.12,333.53
228,2009-07-10 12:00:00,0.152,1.0,-0.83,3.91,3.99,348.03
229,2009-07-10 13:00:00,0.051,1.0,-0.13,4.1,4.1,358.19
230,2009-07-10 14:00:00,0.0,1.0,0.67,4.27,4.33,8.91
231,2009-07-10 15:00:00,0.025,1.0,1.46,4.44,4.68,18.17
232,2009-07-10 16:00:00,0.10099999999999999,1.0,2.07,4.65,5.09,24.0
233,2009-07-10 17:00:00,0.152,1.0,2.33,4.95,5.47,25.25
234,2009-07-10 18:00:00,0.253,1.0,2.13,5.35,5.76,21.7
235,2009-07-10 19:00:00,0.32799999999999996,1.0,1.6,5.79,6.01,15.44
236,2009-07-10 20:00:00,0.278,1.0,0.94,6.17,6.24,8.65
237,2009-07-10 21:00:00,0.20199999999999999,1.0,0.33,6.41,6.42,2.93
238,2009-07-10 22:00:00,0.20199999999999999,1.0,-0.13,6.52,6.53,358.89
239,2009-07-10 23:00:00,0.177,1.0,-0.34,6.56,6.57,357.08
240,2009-07-11 00:00:00,0.152,1.0,0.34,6.95,6.96,2.76
241,2009-07-11 01:00:00,0.22699999999999998,1.0,0.33,7.12,7.13,2.65
242,2009-07-11 02:00:00,0.354,1.0,0.64,7.16,7.19,5.11
243,2009-07-11 03:00:00,0.379,1.0,1.18,7.06,7.15,9.49
244,2009-07-11 04:00:00,0.429,1.0,1.81,6.81,7.05,14.89
245,2009-07-11 05:00:00,0.48,1.0,2.39,6.43,6.86,20.4
246,2009-07-11 06:00:00,0.581,1.0,2.83,5.9,6.54,25.6
247,2009-07-11 07:00:00,0.556,1.0,3.26,5.18,6.12,32.18
248,2009-07-11 08:00:00,0.606,1.0,3.88,4.21,5.72,42.68
249,2009-07-11 09:00:00,0.379,1.0,4.77,3.02,5.65,57.66
250,2009-07-11 10:00:00,0.177,1.0,5.58,2.02,5.93,70.09
251,2009-07-11 11:00:00,0.177,1.0,5.82,1.69,6.06,73.83
252,2009-07-11 12:00:00,0.152,1.0,4.32,1.66,4.63,68.96
253,2009-07-11 13:00:00,0.025,1.0,4.3,1.53,4.57,70.46
254,2009-07-11 14:00:00,0.10099999999999999,1.0,4.51,1.61,4.79,70.32
255,2009-07-11 15:00:00,0.051,1.0,4.8,1.68,5.09,70.7
256,2009-07-11 16:00:00,0.10099999999999999,1.0,4.94,1.29,5.11,75.38
257,2009-07-11 17:00:00,0.152,1.0,4.67,-0.06,4.67,90.7
258,2009-07-11 18:00:00,0.051,1.0,3.85,-2.6,4.64,124.03
259,2009-07-11 19:00:00,0.025,1.0,2.71,-5.57,6.2,154.04
260,2009-07-11 20:00:00,0.051,1.0,1.62,-7.98,8.14,168.49
261,2009-07-11 21:00:00,0.025,1.0,0.86,-9.07,9.11,174.55
262,2009-07-11 22:00:00,0.455,1.0,0.47,-9.17,9.18,177.09
263,2009-07-11 23:00:00,0.758,1.0,0.39,-8.9,8.9,177.48
264,2009-07-12 00:00:00,0.606,1.0,0.66,-8.59,8.61,175.63
265,2009-07-12 01:00:00,0.429,1.0,0.72,-8.5,8.53,175.18
266,2009-07-12 02:00:00,0.22699999999999998,1.0,0.84,-7.89,7.93,173.95
267,2009-07-12 03:00:00,0.22699999999999998,1.0,1.02,-6.89,6.96,171.62
268,2009-07-12 04:00:00,0.126,1.0,1.28,-5.68,5.83,167.27
269,2009-07-12 05:00:00,0.126,1.0,1.68,-4.46,4.76,159.38
270,2009-07-12 06:00:00,0.076,1.0,2.2,-3.36,4.02,146.82
271,2009-07-12 07:00:00,0.0,1.0,2.72,-2.4,3.62,131.45
272,2009-07-12 08:00:00,0.0,1.0,3.06,-1.53,3.42,116.6
273,2009-07-12 09:00:00,0.0,1.0,3.14,-0.73,3.22,103.07
274,2009-07-12 10:00:00,0.0,1.0,3.12,0.05,3.12,89.0
275,2009-07-12 11:00:00,0.025,1.0,3.26,0.86,3.37,75.22
276,2009-07-12 12:00:00,0.051,1.0,4.39,2.36,4.98,61.73
277,2009-07-12 13:00:00,0.076,1.0,4.6,2.9,5.43,57.8
278,2009-07-12 14:00:00,0.20199999999999999,1.0,4.15,2.59,4.9,58.03
279,2009-07-12 15:00:00,0.32799999999999996,1.0,3.3,1.7,3.71,62.68
280,2009-07-12 16:00:00,0.278,1.0,2.38,0.55,2.44,76.93
281,2009-07-12 17:00:00,0.177,1.0,1.8,-0.51,1.87,105.72
282,2009-07-12 18:00:00,0.126,1.0,1.79,-1.23,2.17,124.42
283,2009-07-12 19:00:00,0.025,1.0,1.95,-1.77,2.63,132.1
284,2009-07-12 20:00:00,0.0,1.0,1.74,-2.38,2.95,143.88
285,2009-07-12 21:00:00,0.0,1.0,0.79,-3.24,3.33,166.33
286,2009-07-12 22:00:00,0.0,1.0,-0.47,-4.1,4.13,186.5
287,2009-07-12 23:00:00,0.0,1.0,-1.4,-4.64,4.85,196.79
288,2009-07-13 00:00:00,0.0,1.0,-0.82,-4.73,4.8,189.81
289,2009-07-13 01:00:00,0.076,1.0,-0.96,-4.26,4.36,192.67
290,2009-07-13 02:00:00,0.126,1.0,-0.59,-3.83,3.87,188.76
291,2009-07-13 03:00:00,0.076,1.0,0.14,-3.43,3.43,177.67
292,2009-07-13 04:00:00,0.051,1.0,1.06,-3.02,3.2,160.63
293,2009-07-13 05:00:00,0.051,1.0,2.0,-2.56,3.25,142.05
294,2009-07-13 06:00:00,0.0,1.0,2.81,-2.04,3.48,126.01
295,2009-07-13 07:00:00,0.0,1.0,3.49,-1.53,3.81,113.66
296,2009-07-13 08:00:00,0.0,1.0,4.05,-1.11,4.2,105.29
297,2009-07-13 09:00:00,0.0,1.0,4.52,-0.87,4.6,100.85
298,2009-07-13 10:00:00,0.025,1.0,4.88,-0.86,4.96,100.02
299,2009-07-13 11:00:00,0.051,1.0,5.13,-1.15,5.25,102.61
300,2009-07-13 12:00:00,0.10099999999999999,1.0,5.48,-2.37,5.97,113.38
301,2009-07-13 13:00:00,0.20199999999999999,1.0,5.34,-3.37,6.31,122.23
302,2009-07-13 14:00:00,0.303,1.0,4.96,-3.91,6.32,128.3
303,2009-07-13 15:00:00,0.40399999999999997,1.0,4.41,-4.08,6.01,132.81
304,2009-07-13 16:00:00,0.379,1.0,3.77,-3.95,5.46,136.3
305,2009-07-13 17:00:00,0.253,1.0,3.13,-3.58,4.75,138.85
306,2009-07-13 18:00:00,0.152,1.0,2.55,-3.05,3.98,140.09
307,2009-07-13 19:00:00,0.126,1.0,2.08,-2.4,3.17,139.14
308,2009-07-13 20:00:00,0.0,1.0,1.71,-1.64,2.37,133.81
309,2009-07-13 21:00:00,0.0,1.0,1.47,-0.86,1.7,120.39
310,2009-07-13 22:00:00,0.0,1.0,1.3,-0.37,1.35,105.68
311,2009-07-13 23:00:00,0.0,1.0,1.16,-0.52,1.27,114.17
312,2009-07-14 00:00:00,0.0,1.0,1.5,-0.75,1.68,116.35
313,2009-07-14 01:00:00,0.0,1.0,1.55,-1.09,1.89,125.21
314,2009-07-14 02:00:00,0.0,1.0,1.66,-1.63,2.32,134.41
315,2009-07-14 03:00:00,0.126,1.0,1.82,-2.27,2.91,141.21
316,2009-07-14 04:00:00,0.051,1.0,2.0,-2.91,3.53,145.58
317,2009-07-14 05:00:00,0.10099999999999999,1.0,2.15,-3.46,4.07,148.17
318,2009-07-14 06:00:00,0.051,1.0,2.25,-3.82,4.44,149.53
319,2009-07-14 07:00:00,0.076,1.0,2.32,-4.0,4.62,149.94
320,2009-07-14 08:00:00,0.32799999999999996,1.0,2.37,-4.01,4.66,149.39
321,2009-07-14 09:00:00,0.22699999999999998,1.0,2.43,-3.86,4.56,147.8
322,2009-07-14 10:00:00,0.10099999999999999,1.0,2.5,-3.61,4.39,145.32
323,2009-07-14 11:00:00,0.025,1.0,2.57,-3.31,4.19,142.19
324,2009-07-14 12:00:00,0.0,1.0,2.43,-3.01,3.87,141.04
325,2009-07-14 13:00:00,0.0,1.0,2.72,-2.51,3.7,132.65
326,2009-07-14 14:00:00,0.0,1.0,2.84,-2.26,3.63,128.46
327,2009-07-14 15:00:00,0.0,1.0,2.83,-2.17,3.57,127.42
328,2009-07-14 16:00:00,0.0,1.0,2.79,-2.12,3.5,127.25
329,2009-07-14 17:00:00,0.025,1.0,2.82,-1.99,3.45,125.26
330,2009-07-14 18:00:00,0.0,1.0,2.96,-1.7,3.42,119.78
331,2009-07-14 19:00:00,0.0,1.0,3.01,-1.28,3.27,113.09
332,2009-07-14 20:00:00,0.0,1.0,2.68,-0.84,2.81,107.49
333,2009-07-14 21:00:00,0.0,1.0,1.8,-0.44,1.85,103.72
334,2009-07-14 22:00:00,0.0,1.0,0.65,-0.01,0.65,91.03
335,2009-07-14 23:00:00,0.0,1.0,-0.39,0.53,0.66,323.32
336,2009-07-15 00:00:00,0.0,1.0,-0.44,1.63,1.69,344.8
337,2009-07-15 01:00:00,0.0,1.0,-1.18,2.05,2.36,330.17
338,2009-07-15 02:00:00,0.0,1.0,-1.46,2.59,2.97,330.57
339,2009-07-15 03:00:00,0.0,1.0,-1.41,3.18,3.48,336.08
340,2009-07-15 04:00:00,0.0,1.0,-1.17,3.77,3.94,342.8
341,2009-07-15 05:00:00,0.051,1.0,-0.86,4.27,4.36,348.56
342,2009-07-15 06:00:00,0.22699999999999998,1.0,-0.63,4.64,4.69,352.33
343,2009-07-15 07:00:00,0.177,1.0,-0.48,4.9,4.92,354.45
